day,topic_principal,sub_topic0,sub_topic1,sub_topic2,sub_topic3,sub_topic4,sub_topic5,sub_topic6
1,0,0.016533524265125457,0.0016241063862623927,0.002436168022356093,0.006176877399087452,0.009457639071283197,0.008106276576996474,0.007220236589579419
1,1,0.017203577057235464,0.007110618684181538,0.009617229056523574,0.006193361619856295,0.007526045158095999,0.011210542026516935,0.01241026063954372
1,2,0.022689501139067623,0.03037308766880333,0.013746916725089169,0.010485368785735283,0.017687551004654196,0.01825329855839733,0.0019217018006326108
1,3,0.012848539899394025,0.0018117822658169195,0.015075186557209064,0.01309721934689496,0.008857866553205114,0.012894849734898222,0.011124063026302356
1,4,0.008276732737169725,0.011100378097445813,0.011639399768207546,0.004718714154237226,0.01683279260867742,0.004847253396934753,0.005447997070142836
1,5,0.01095541249644839,0.006229922046099672,0.002397649821611064,0.005579174158248187,0.009846526878734446,0.014811630716435929,0.008329661980570434
1,6,0.021149053004992147,0.013590668420774618,0.0020100177412718215,0.010589097927833193,0.020124970020165233,0.0034984815970647287,0.0074674534747375875
1,7,0.010329947951622448,0.005571477608655005,0.007502258372666658,0.0018904592364898565,0.010320486153922715,0.01734336230963596,0.014854447196608424
1,8,0.0158666571934729,0.01432841799131843,0.0035040167178739742,0.0028612426918875997,0.009508824138034654,0.00653669259395874,0.014138263183726053
1,9,0.015233860562766066,0.010625760521405622,0.016650616335053194,0.011930741332867903,0.008952473670820619,0.0052268603062408025,0.00864497976979152
2,0,0.0176025264823258,0.0015347092425299236,0.0021026632806744696,0.005501112437608803,0.007579982745182703,0.007684060042168114,0.007546084468354969
2,1,0.01613618647968166,0.00719269178369982,0.005822485683801683,0.004526286684726199,0.00833741115226197,0.015513461627908396,0.012701736872705194
2,2,0.03972917400783891,0.012866113863702646,0.006173750501724642,0.012034363275261287,0.025232405360524693,0.025083954924960315,0.001776771361591443
2,3,0.01400215576650357,0.002214592192545463,0.004032628219850611,0.016650340784752603,0.01289584944515767,0.005358587805033908,0.010814039708743598
2,4,0.008310902148423291,0.009725853593857718,0.012271030161618774,0.005513391288898211,0.015127545688532048,0.006696814943243565,0.006795252007886272
2,5,0.010444291192871989,0.006769318474071688,0.002547234373801437,0.006194680696966176,0.00970238407849052,0.015346935947365158,0.008711744259310664
2,6,0.027191905639002218,0.018616987889301724,0.0013662638771870252,0.010892231397761857,0.016406195261490557,0.00296038387471916,0.004981690771926081
2,7,0.011371300167435285,0.004182549856516751,0.0077282394858801985,0.0024543665329741717,0.00780995801084256,0.018478790425530547,0.011017843642758231
