day,topic_principal,sub_topic0,sub_topic1,sub_topic2,sub_topic3,sub_topic4,sub_topic5,sub_topic6
1,0,0.01396802966695864,0.002047366603132401,0.011986365508789726,0.005481040915367472,0.003359493574578937,0.007781845716704126,0.008466254341766217
1,1,0.016361217685481225,0.005826272029459088,0.009196427394207148,0.012441391782704252,0.006888029941576367,0.008329799406777569,0.008203915179065482
1,2,0.001036092139891534,0.00993781714528941,0.022983711712249454,0.020730927766678287,0.012135100067008554,0.018349466107275503,0.017569342940195486
1,3,0.013168896326573556,0.0013420616438174215,0.015193923046887117,0.007869327976855457,0.010930444060232665,0.009886378015009675,0.014285770990223864
1,4,0.02322799472217538,0.03112559742346257,0.01775975390108138,0.011613999651250378,0.018895103942167223,0.0012965836927823601,0.01276023157185378
1,5,0.009952919686265719,0.0060077791815717945,0.0020588871727364438,0.0051776708457098985,0.010859559933820314,0.014634222208732934,0.008588522328256283
1,6,0.018005763424523705,0.01527153605046621,0.013631059532833785,0.017587041148274946,0.010751590312856387,0.009375092482316296,0.0076256326899427
1,7,0.020753508436199112,0.013244661991633868,0.002145914791097113,0.010414489322657788,0.021397854073823778,0.0031606472163943295,0.007097150350817047
1,8,0.007722293472148475,0.008960294638371677,0.0077793980778828415,0.003556223945552091,0.004658608191911891,0.00969418797390257,0.018640515870469644
1,9,0.01723894412723854,0.016275817886918467,0.0030726841141289173,0.0028999166268711073,0.006744085314293542,0.009744569994506182,0.006084450393306095
2,0,0.013864377284104158,0.0018178784253345232,0.012648697717833059,0.004957483832521285,0.00337238275741776,0.008727568622604282,0.00747585788017513
2,1,0.012955389775715823,0.004290975459801789,0.01367809362742927,0.0079716192606804,0.007361978036438111,0.010512354947522649,0.008447214894946148
2,2,0.0009227497605455799,0.0056150640635424095,0.02261773707358831,0.025272517627827115,0.007996375759484812,0.014609774341659769,0.021762162054576324
2,3,0.013945286373041352,0.0019418025050578589,0.005946353949887433,0.008126000893756735,0.013011474342291362,0.015531242905910805,0.007049501063442428
2,4,0.039359549395097976,0.012510740495161396,0.026087895679331993,0.012655308918780648,0.02450315560025071,0.0014411498799948904,0.011647143448178564
2,5,0.009434195109448654,0.006333340430202729,0.0021391208619845016,0.005689456360802099,0.010620282325991642,0.015005544402372485,0.008031755863131575
2,6,0.017919693794540156,0.014216110382715677,0.016683382827415435,0.01635690846143614,0.005048365338437772,0.011399165615961266,0.009123641533535794
2,7,0.026855420946084983,0.01825156149242429,0.0013250250726252698,0.010143474016767713,0.017527525106390433,0.0027252897748789432,0.005259910897506706
2,8,0.006811122795189313,0.007632316734878912,0.00721052964765919,0.004488362934219288,0.00549021832166914,0.008443472483577415,0.022064438318272747
2,9,0.014319223122671367,0.022380902398181305,0.0025019398038692163,0.0023399963940443887,0.004982660286389839,0.019392508960342576,0.003295971210577689
3,0,0.012968321021639133,0.0017837314941877938,0.01497884030099621,0.007416584923811639,0.004125167632991944,0.006805684517348413,0.0063477409706144275
3,1,0.012416631807880427,0.007134765153507427,0.013993535476937173,0.008361018285907457,0.004855334784728656,0.008733575587260747,0.008790492504972764
3,2,0.00152473261652658,0.007575474624716479,0.026194818380754967,0.02198862898227484,0.0037687596327199246,0.01298131299786644,0.01967637175742061
3,3,0.01441557058532605,0.0019384896025209481,0.009108580195311397,0.005646553504446705,0.010454951119018455,0.01356565819264646,0.006550956730417635
3,4,0.04944362835437728,0.010390016851983536,0.023293672617423124,0.008984759051692376,0.01986241724575074,0.0017022966746286627,0.007808257656397151
3,5,0.009435845358576288,0.007768531040249951,0.002201898767951428,0.005655061631417604,0.012597055916852931,0.013955323519879503,0.006987682114317685
3,6,0.01320115632468502,0.017180368780288023,0.01583099074602154,0.017174923266043775,0.012276465277668515,0.008500853569116522,0.008923011583325167
3,7,0.019247388423647187,0.01371312856700924,0.02980625924019994,0.009911948431966846,0.014345801421558717,0.002583382086416329,0.004746977419145176
3,8,0.008187144998899859,0.010095141230288604,0.0066752610092026135,0.004756396556460812,0.006459854545146452,0.010949175694219104,0.01629139518778932
3,9,0.014939092962785524,0.021600585308439637,0.002533908741531055,0.002573434193871947,0.0052918035841724,0.01605944431527717,0.0038423636051431744
4,0,0.013890234004701333,0.001906033871553364,0.011830318643147309,0.00623920677195164,0.004325821997559255,0.007245466328435683,0.007471142909829925
4,1,0.014008234655517116,0.004981839220909546,0.012329270066243772,0.005105729337966763,0.003996955188711096,0.01097124159418089,0.009627398310563196
4,2,0.013349907746927065,0.008646323156741293,0.02142124897601418,0.0186537040925963,0.00558497039269794,0.013358490345399899,0.019327752350002756
4,3,0.01563352939488208,0.0014708189365935376,0.011002773757701848,0.006750810092979499,0.010792074702920155,0.011120191051247041,0.011936886193838273
4,4,0.03649706515211363,0.021969359015544906,0.011294641747273782,0.008742586292615309,0.014025943801365468,0.0018907492915293386,0.01784325028759451
4,5,0.01142698910538118,0.005238918015324478,0.0027895664055087675,0.004172915688283527,0.011099876814415894,0.012987794155499489,0.0076893462306139035
4,6,0.013462302996485207,0.02011359085707841,0.011859988396926598,0.019151791345472506,0.0059679636259283965,0.006622172426751934,0.0085243194866673
4,7,0.014704069733616659,0.013276397666464948,0.0025355322407612504,0.007264064708084898,0.021827882313018153,0.004760506360743432,0.0065417134769333845
4,8,0.008996476258076843,0.008086128182505873,0.008900113225103892,0.0031982685493112087,0.004864937611057784,0.009107938146533798,0.015419042455722969
4,9,0.01971981469388901,0.011609757962771472,0.004728916304189687,0.003279740608416244,0.004959718022234905,0.009547767829421147,0.005231228939810113
5,0,0.013753760204865599,0.0018657221367581313,0.011649143994630372,0.0064709205953593285,0.0049468143639554065,0.0077331550170170365,0.007450934515611783
5,1,0.01382441507894958,0.005418754358102457,0.0125719224454915,0.004795465629645306,0.004475180884193739,0.014014282637503553,0.008303345082036466
5,2,0.0017681801260763135,0.009182151096559819,0.025909003191480977,0.022473859342312986,0.008973103901152149,0.012849421498869935,0.018562649470819426
5,3,0.015214803500426931,0.0019428226624128083,0.010812738864564525,0.005945220489474439,0.009999098324840796,0.009493648130594792,0.014438607706283467
5,4,0.037718137331674895,0.021106649215605337,0.01028880713748185,0.009036380475181132,0.012496037064629492,0.0014503995400920037,0.018957195983061552
5,5,0.011244823549879506,0.004725398171059304,0.0033350453835992696,0.004951533508334128,0.009273549701825144,0.013805573225105934,0.0075791727022181685
5,6,0.019555030055261324,0.019016736679166875,0.013510537687042277,0.015725635782635295,0.011846341098810052,0.006510160650475147,0.0062192609633723835
5,7,0.015717252109346772,0.013233109024564723,0.0032387281057494445,0.007834841162282022,0.02264263466403843,0.0049121454406324165,0.006799437535304656
5,8,0.010557563264322153,0.008552295154461943,0.00926884047016503,0.0024200190083878497,0.003672734809442667,0.00962755283704001,0.013401686245512275
5,9,0.02168242006102948,0.008862719295606301,0.0037489253197788446,0.0031403291370078975,0.004970080364425665,0.005954687736472185,0.007587230573302015
6,0,0.013360696092100312,0.0018431905571344354,0.010905468905932754,0.00815342354891855,0.0049748348661136435,0.007890823374737581,0.0077588320191419365
6,1,0.014179920546814499,0.004194101264005874,0.01181032377459646,0.0035702789229026905,0.005414593742971967,0.014197164347513004,0.008201288561022368
6,2,0.07084552861318545,0.00478211796430927,0.016070206244154436,0.011090565718218943,0.00427710959948614,0.006748221602681182,0.009360308482100564
6,3,0.01479439662177655,0.0019585655832571693,0.01007375811227029,0.005282163570156989,0.012951083024140142,0.00749438286963316,0.015549991131096412
6,4,0.04144624633896189,0.021515380325922356,0.010343470292012106,0.011722024657575733,0.012731271569651391,0.0015927225583082908,0.015161322479309253
6,5,0.011249702089446107,0.0046477556180482965,0.0037887084031450317,0.004832278151904406,0.0084594021970778,0.01366870160687739,0.008355027624517187
6,6,0.02637135765161944,0.017136466491793866,0.017382181916475344,0.012804498006419604,0.009319556463207925,0.0033408419905795327,0.0067830919939503055
6,7,0.015480410698253325,0.0133362372247649,0.001993432369992724,0.005874501418371986,0.023556362606652028,0.004886239593169767,0.006808058177593322
6,8,0.010699368072981755,0.007782810701349479,0.010269229292217078,0.002264457779649939,0.0029472920498083465,0.010400624089176752,0.012311195453524383
6,9,0.02127805305611081,0.008866667574258063,0.0037691781731004,0.002848078440658425,0.004443747374994958,0.006854875593556137,0.008536766455481924
7,0,0.013982394936444514,0.0017981859441551728,0.01205657922237455,0.005416162114819438,0.004355247026227781,0.007382827234146881,0.007580365302897852
7,1,0.01460895899391542,0.004412261693171687,0.012137648504719567,0.004280584741418545,0.005673869939490969,0.01144565306446376,0.008190837783464636
7,2,0.003228624304351997,0.00772282685248489,0.023987966457303504,0.018955072577410373,0.007569653189968242,0.014576980435511318,0.019909760184966836
7,3,0.014423559934606351,0.0022501899372065226,0.009235858178086255,0.0046083276364190014,0.014113619132111442,0.008159766819770707,0.016312132183281206
7,4,0.042822595822898386,0.0210274382791784,0.011047655618831857,0.007571313217476766,0.010771903419696766,0.0014918130334670467,0.01902617117562106
7,5,0.011098926544799905,0.004359374763639318,0.0031956813392904895,0.0050029207051538425,0.008387173273762469,0.01500397064268784,0.007722697080550334
7,6,0.019020003878267328,0.01666520893011103,0.015194872779595393,0.014859256292348466,0.01356941323080658,0.005805359730071043,0.006429707720584509
7,7,0.015536849461684538,0.012465893681604152,0.00182230971961028,0.008099798820430697,0.024222415275908342,0.004517749206573978,0.0063073581946838115
7,8,0.011182316746232272,0.005801609389336924,0.010205765227592594,0.0035829823014271716,0.002173924332752435,0.009085269270880176,0.013725622021174805
7,9,0.020266931235228193,0.009526865799987988,0.01209705220243056,0.0028818712836202096,0.0048890755034236896,0.005253713379694132,0.006618001602305585
8,0,0.013648533145045064,0.0018711611960917347,0.012370990905135297,0.007011115796814046,0.004623932842304984,0.007047385784460319,0.007663573003446822
8,1,0.015389906555591831,0.00439700780110394,0.01025641789011164,0.005043842973103382,0.0077936213525314,0.012515863724468808,0.007972614117157346
8,2,0.0031655289187776884,0.006256066611954545,0.023983325899276844,0.020146885552853936,0.009000206781999712,0.016783956959930374,0.02132124109574051
8,3,0.01423209144501457,0.002064584500936453,0.010926345950330619,0.004721530931523602,0.012711813883626789,0.008238590546536733,0.013491678908987982
