day,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
1,0.00609751729095027,0.006273359162378105,0.001983811311622587,0.00413325510289116,0.0015979867359359862,0.006129175764512798,0.0031799397348155696,0.003015077024789526,0.00596131821388705,0.0037498185801240302
2,0.0057744339111863345,0.00923822116731555,0.0015515814899505686,0.002429789069044443,0.0014263550946647448,0.006238059626971133,0.0032781856510252483,0.0029963906804989734,0.005452323172337541,0.004202506611032465
3,0.005853534031059145,0.008038395625372967,0.0015097078629165367,0.002511004109881222,0.0016095798549132405,0.0064371929901956,0.002825071493459493,0.0030183181875468867,0.0054371174528397796,0.004224412177470741
4,0.006321511196405032,0.005025561119932072,0.002029259673917797,0.004693288078409373,0.0020057124474899364,0.0062145828857373825,0.0024344056268628097,0.0029067800390476014,0.005944061954852049,0.0037685009358029145
5,0.006164256751352601,0.005033632911183945,0.0020860714812567425,0.004838985370625578,0.0019266198403070935,0.0058752061411244064,0.0030847722146219226,0.002889576560201941,0.006344543522795355,0.0038120515646795777
6,0.006175426257391511,0.004919923292080522,0.002364323062250244,0.004939226815323599,0.0019611396454463116,0.005650069262525751,0.0033416392665686465,0.0028892040931508224,0.006058966597407905,0.003682771244053936
7,0.006135573882382348,0.0048830163214292595,0.002006286672993239,0.00540476846830231,0.0019812300786151817,0.005912370202206055,0.0030817680710458492,0.0030097334558800834,0.006163067730065123,0.004065659508307272
8,0.006272945303618801,0.005391115359004724,0.002199758715652826,0.004734427729952555,0.0019190534756880159,0.006072760750947744,0.0027180379072475713,0.0029444065003872847,0.00600545285272124,0.003980623612782976
9,0.0060824133660315706,0.008400235195122714,0.001519005574353893,0.0024753031099209815,0.001499274524877006,0.006405959007898872,0.0036677380339611675,0.0030836117398452836,0.005906086304361629,0.0041307042257057395
10,0.005807681723179634,0.00889263112595076,0.0014542253332779551,0.0024223780650739707,0.0015940415086574265,0.00634407539264937,0.002904947975807931,0.002888227810664798,0.005793116228733123,0.004476807669333221
11,0.005825098950407036,0.006146772264036291,0.0019696021487063914,0.003688296374105283,0.0016584599432489145,0.006158416758905769,0.002359501377184103,0.002957997312734784,0.006897469014874489,0.004619415359727735
12,0.0063289020371409795,0.004559966800220108,0.0020848741516379652,0.004714709698040563,0.0019175276001772467,0.006075319347448493,0.0022027314555074363,0.003080322194279464,0.006472659090210637,0.004295373872578989
13,0.006305112552564545,0.004073017215466174,0.0024333558469695534,0.004337465265500508,0.001888998976432767,0.006117496709503655,0.0021466545095002463,0.002865993114862973,0.006123709100944265,0.004862282248727393
14,0.006184240252603284,0.0044065228590801555,0.002035788772909384,0.004901311544513587,0.0019253331401762525,0.006328106086299672,0.0021052827764391794,0.0028784041687082316,0.006361576113250862,0.004691457518378267
15,0.006145437128815401,0.004728753618354399,0.0020928124422634124,0.004769901877993177,0.0020023124817799384,0.006382053076712324,0.001959593455230701,0.0028321657983243647,0.0061288920747934955,0.004800265692951702
16,0.005730731958931479,0.0072993578810055535,0.001316543042694679,0.0028054688210085166,0.001606235378889843,0.0066745756048145165,0.002682241983431903,0.0028816740992644086,0.00635346448627465,0.005271095416723349
